Question,Answer,,Question,Answer,,Question,Answer
"In 2011,Charlene Wittstock was compared to Grace Kelly when she married Prince Albert II of what small state?",MONACO,,"When an NFL head coach chooses to challenge a referee’s ruling,he throws what color “flag” onto the field?",RED,,"In tennis,a player who has lost a set 6-0 is said to have been what?",BAGELED
"In 2011,Derek Jeter became just the 28th player in the history of baseball to reach what number of career “hits”?",3000,,"When asked in 2007 if he had ever cried at a movie,what actor jokingly replied “At the premiere of Batman & Robin”?",GEORGE CLOONEY,,"In terms of square mileage,which of these Middle Eastern countries is the largest?",SAUDI ARABIA
"In 2011,FOX announced plans to remake what immensely popular Carl Sagan-hosted science series from 1980?",COSMOS,,"When asked why he titled his movie “Bananas,” what director replied, “Because there are no bananas in it?”",WOODY ALLEN,,"In the 1800s,Ohio native Annie Oakley gained national fame for her remarkable skills as a what?",SHARPSHOOTER
"In 2011,Google unveiled its new service Google+,meant to compete directly with what popular website?",FACEBOOK,,"When checking your account balance in countries like Spain or Turkey,remember that periods are replaced by what?",COMMAS,,"In the 1870s,the standard QWERTY keyboard was developed to prevent which of these common typewriter problems?",JAMMED TYPEWRITERS
"In 2011,Google’s home page logo featured an interactive six-string electric guitar in honor of what music legend?",LES PAUL,,"When communicating online,a person might type the emoticon “o_O” to indicate that they are what?",SURPRISED,,"In the 1880s,Australians built an enormously long fence to keep what animals from attacking their sheep?",DINGOES
"In 2011,Heather Locklear announced her engagement to actor Jack Wagner,her co-star from what ’90s TV series?",MELROSE PLACE,,"When decorating a Christmas Tree,most experts would reccomend adding what first?",LIGHTS,,"In the 1895 novel “Red Badge of Courage,” Henry Fleming, the main character, is a what?",UNION SOLDIER
"In 2011,Italian cops caught the mob boss of the Sicilian town of Corleone,the namesake of the crime family in what film?",THE GODFATHER,,"When digesting one’s food,which of these steps in the digestion process occurs first?",SALIVARY DIGESTION,,"In the 1895 novel “The Red Badge Of Courage”, Henry Fleming,the main character,is a young what?",UNION SOLDIER
"In 2011,Jay Carney replaced Robert Gibbs as President Obama’s what?",PRESS SECRETARY,,"When England adopted the new Gregorian calendar in 1752, people complained that they “lost” how many days?",11,,"In the 1945 novel “Animal Farm,” what animals control the “government” of the farm?",PIGS
"In 2011,Keithroy Yearwood revealed that he was the baby on the cover of what rapper’s 1994 album “Ready to Die”?",NOTORIOUS B.I.G.,,"When he was assassinated in Dallas Texas in in 1963, John F. Kennedy was riding in what make of car?",LINCOLN CONTINENTAL,,"In the 1958 film “Vertigo,” Jimmy Stewart’s character has an irrational fear of what?",HEIGHTS
"In 2011,Lady Gaga’s single “Born This Way” was criticized as being a “rip-off” of what 1989 Madonna hit?",EXPRESS YOURSELF,,"When in the air,the famous Goodyear blimps are filled with nearly 203,000 cubic feet of what?",HELIUM,,"In the 1960s,the CIA reportedly tried to manufacture exploding cigars in order to assassinate what world leader?",FIDEL CASTRO
"In 2011,raging wildfires in New Mexico forced what highly fortified government compound to evacuate?",LOS ALAMOS NATIONAL LAB,,"When introducing new Apple products, Steve Jobs was known for sporting what distinct fashion ensemble?","Black turtleneck, blue jeans",,"In the 1960s,the FBI conducted an investigation into the unintelligible lyrics of what popular song?",LOUIE LOUIE
"In 2011,Rolling Stone named “Tubthumping,” “Barbie Girl” and “I’m Too Sexy” among the “Worst Songs of” what decade?",THE NINETIES,,"When introducing new Apple products,Steve Jobs was known for sporting what distinct fashion ensemble?","BLACK TURTLENECK,BLUE JEANS",,"In the 1962 movie “The Manchurian Candidate,” what playing card triggers Raymond’s trances?",QUEEN OF DIAMONDS
"In 2011,Seth Rogen and Ryan Reynolds both played movie superheroes with what colorful word in their name?",GREEN,,"When it is expressed in Roman numerals,which of these years is represented by the fewest number of letters?",2001 *CORRECT*,,"In the 1967 film “Bonnie and Clyde,” Clyde famously offers what terse description of the duo’s occupation?",WE ROB BANKS
"In 2011,Ted Danson replaced Laurence Fishburne on what popular crime drama?",CSI,,"When it is July in the U.S., what season is it in Argentina?",WINTER,,"In the 1968 movie “Funny Girl,” Barbara Streisand’s character looks into the mirror and says “Hello” what?",GORGEOUS
"In 2011,the Department of Homeland Security did away with using which of these to indicate terrorism threat levels?",COLORS,,"When it premiered,which of these movies had a title that referred to a date in the future and not the past?",2001:A SPACE ODYSSEY,,"In the 1972 film “The Godfather,” Vito Corleone dies while playing with his grandson where?",IN A TOMATO GARDEN
"In 2011,the FDA banned the use of the words “waterproof” and “sweatproof” on what products’ labeling?",SUNSCREEN,,"When it was founded in 1970,what company’s name was a reference to its founder’s curly head of hair?",KINKO’S,,"In the 1979 hit song “Escape,” what does the singer claim to like in addition to pina coladas?",GETTING CAUGHT IN THE RAIN
"In 2011,the Smithsonian acquired pieces from the set of what classic TV show and “hippest trip in America”?",SOUL TRAIN,,"When its first three letters are removed,what U.S. president’s name becomes that of an ’80s TV icon?",LYNDON JOHNSON,,In the 1980s the Members Only brand became famous for its wildly popular version of what?,MEN’S JACKET
"In 2011,the U.S. Army announced that it was abandoning what type of hat as part of its official combat uniform?",BERET,,"When it’s not capitalized,which of these men’s names is also a term used by con men to refer to an intended victim?",MARK,,"In the 1987 movie “The Princess Bride,” what actress plays the Princess Bride?",ROBIN WRIGHT PENN
"In 2011,TNT announced Larry Hagman would return to play J.R. Ewing in a “sequel” to what classic show?",DALLAS,,"When jump-starting a car, the jumper cables are usually attached to what part of the vehicle?",BATTERY,,"In the 1988 movie “Rain Man,” Raymond Babbitt is obsessed with watching what TV personality?",JUDGE WAPNER
"In 2011,what 66-year-old actress beat out Elle MacPherson to win L.A. Fitness’ “Body of the Year” poll?",HELEN MIRREN,,"When kissed,which of these landmarks is said to endow visitors with the “gift of gab”?",BLARNEY STONE,,"In the 1989 movie “Field Of Dreams”,a mysterious voice inspires a farmer to build what in his cornfield?",BASEBALL DIAMOND
"In 2011,what animal-centric film released a straight-to-DVD prequel subtitled “The Puppy Years”?",MARLEY & ME,,"When listed in the newspaper, which of these numbers are often referred to as “quotes?”",STOCKS,,"In the 1989 movie, “When Harry met Sally…” Harry and Sally first meet at what university?",UNIVERSITY OF CHICAGO
"In 2011,what baseball Hall of Famer and Cardinals great was awarded the Presidential Medal of Freedom?",STAN MUSIAL,,"When measuring a woman’s measurements, as in “36, 35, 36” the numbers correspond to which of the following?","BUST, WAIST, HIPS",,"In the 1990 movie “Ghost,” what classic song is featured during the famous “pottery-making” love scene?",UNCHAINED MELODY
"In 2011,what car-centric city experienced “Carmageddon” when its 405 freeway was shut down for repairs?",LOS ANGELES,,"When not anchoring “NBC Nightly News,” what newsman frequently spoofs himself of TV’s “30 Rock”?",BRIAN WILLIAMS,,"In the 1992 film “My Cousin Vinny,” Joe Pesci and Marisa Tomei memorably sample what Southern dish?",GRITS
"In 2011,what classic ’80s movie was adapted into a television series on MTV?",TEEN WOLF,,"When ordered Venti-sized,which Starbucks drink tops out at more calories–630–than a McDonald’s Big Mac?",ICED WHITE CHOCOLATE MOCHA,,"In the 1993 drama “Indecent Proposal,” Demi Moore agrees to sleep with Robert Redford for what tidy sum?","ONE MILLION DOLLARS 1,000,000"
"In 2011,what country announced plans to close its notorious marijuana-peddling “coffee shops” to tourists?",THE NETHERLANDS,,"When poaching eggs, chefs often use which of these ingredients to prevent the whites from “spreading?”",VINEGAR,,In the 1994 film “The Shawshank Redemption” a newly freed Red reunites with Andy in what Mexican town?,ZIHUATANEJO
"In 2011,what late night funnyman consented to an on-air beard shaving by Will Ferrell?",CONAN O’BRIEN,,"When President Garfield was shot in 1881, who invented a type of metal detector to try and find the bullet?",ALEXANDER GRAHAM BELL,,"In the 1994 movie “Speed,” a bomb is set to go off as soon as a bus’s speed falls below what?",50 MPH
"In 2011,what media mogul found himself in the center of a widespread phone-hacking scandal?",RUPERT MURDOCH,,"When repeated three times,which of these words does not become the title of a Top 40 pop song?",BAD,,"In the 1995 comedy “Tommy Boy,” Chris Farley ruins David Spade’s clothes as he sings, “Fat guy in” what?",A LITTLE COAT
"In 2011,what name didn’t make Social Security’s list of Popular Baby Names for the first time since 1955?",ELVIS,,"When Robert Frost famously wrote “It finds the thought and the thought finds the words,” he was referring to a what?",POEM,,"In the 1997 film “Donnie Brasco,” Johnnie Depp memorably explains the varied nuances of what mob phrase?",“FORGET ABOUT IT!”
"In 2011,what secretive leader revealed that he had actually relinquished his powers to his brother back in 2006?",FIDEL CASTRO,,"When spelled as one word, what baseball hall of famer’s last name means “having a pH more than 7?”",AL CALINE,,"In the 1997 movie “Boogie Nights,” Heather Graham plays a young starlet known by what nickname?",ROLLERGIRL
"In 2011,what Supreme Court justice opened up to the public about what it’s like to grow up with type 1 diabetes?",SONIA SOTOMAYOR,,"When stating a woman’s measurements — as in “36, 25, 36” — the numbers correspond to which of the following?","BUST, WAIST, HIPS",,"In the 1997 movie “My Best Friend’s Wedding,” who plays the titular “best friend”?",DERMOT MULRONEY
